admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
10,2604777,Dover,520;,0.367191,,2184,1069,1,391,158,1084,,,,,,,,,,43156,
8,295349,Fenland,484;35;94;74;251;79;54;41;77;46;49;129;552;120;33;504;182;,2.312173,,13480,6530,17,2283,1688,5504,,,,,,,,,,114880,
8,295352,East Cambridgeshire,112;35;30;24;91;29;27;20;90;35;45;82;41;120;39;45;61;39;34;12;26;21;69;51;42;139;14;21;29;46;96;269;514;275;94;229;,2.610688,,19619,9566,36,2383,4556,5669,,,,,,,,,,191044,
8,295351,Huntingdonshire,4;15;42;21;47;679;5;28;102;25;24;9;111;51;235;36;93;39;132;46;78;369;78;552;239;34;25;37;52;9;17;37;31;31;9;42;19;46;15;21;16;13;20;20;41;123;209;28;11;80;19;35;36;96;18;24;14;130;27;60;54;11;19;210;14;30;21;32;36;15;13;20;25;231;53;30;63;32;11;237;47;487;,6.514029,,37597,18234,82,4899,7931,11773,,,,,,,,,,478624,
8,295355,Cambridge,1875;,9.624499,,62838,31355,1,1612,27868,3876,,,,,,,,,,750232,
8,295353,South Cambridgeshire,38;15;45;52;132;87;98;58;30;13;20;129;19;46;8;9;57;48;38;36;58;39;43;59;27;56;38;330;36;32;10;118;16;14;19;10;18;50;42;31;25;22;14;7;11;24;11;13;33;38;30;87;48;10;22;127;33;36;47;44;56;101;25;21;43;53;37;52;91;68;140;53;46;39;36;18;131;29;22;9;33;19;64;23;31;21;129;34;34;62;40;74;126;22;147;49;126;14;127;79;29;61;76;119;688;,12.042162,,75961,37326,105,4663,27711,11003,,,,,,,,,,1370272,
6,180837,Cambridgeshire,1875;38;15;45;52;132;87;98;58;30;13;20;129;19;46;8;9;57;48;38;36;58;39;43;59;27;56;38;330;36;32;10;118;16;14;19;10;18;50;42;31;25;22;14;7;11;24;11;13;33;38;30;87;48;10;22;127;33;36;47;44;56;101;25;21;43;53;37;52;91;68;140;53;46;39;36;18;131;29;22;9;33;19;64;23;31;21;129;34;34;62;40;74;126;22;147;49;126;14;127;79;29;61;76;119;688;112;35;30;24;91;29;27;20;90;35;45;82;41;120;39;45;61;39;34;12;26;21;69;51;42;139;14;21;29;46;96;269;514;275;94;229;4;15;42;21;47;679;5;28;102;25;24;9;111;51;235;36;93;39;132;46;78;369;78;552;239;34;25;37;52;9;17;37;31;31;9;42;19;46;15;21;16;13;20;20;41;123;209;28;11;80;19;35;36;96;18;24;14;130;27;60;54;11;19;210;14;30;21;32;36;15;13;20;25;231;53;30;63;32;11;237;47;487;484;35;94;74;251;79;54;41;77;46;49;129;552;120;33;504;182;415;,263.986249,,210768,103274,242,16190,69754,38396,,,,,,,,,,11374132,
8,172987,Liverpool,10168;,148.959973,,50577,24816,1,6879,7769,21279,,,,,,,,,,857888,
6,1906767,Glasgow City,11685;,194.347607,,70524,34790,1,7427,15678,24312,,,,,,,,,,1415516,
8,146656,Manchester,153;10189;,168.713404,,96802,48052,2,7140,30599,21320,,,,,,,,,,2194272,
8,2305279,Carlsbad,3361;,18.437916,,60972,30425,1,2407,24657,6842,,,,,,,,,,796460,
8,2305280,Oceanside,3945;,26.788240,,78005,38904,1,2709,32250,8085,,,,,,,,,,1151772,
8,111848,Chula Vista,4959;,36.276213,,77630,38686,1,3186,30541,10174,,,,,,,,,,1201708,
6,62428,Munich,159;256;259;97;132;145;81;42;125;82;248;74;122;169;113;103;37;61;95;77;52;98;145;110;72;63;287;163;90;188;173;104;46;68;60;39;60;125;146;49;57;28;178;37;218;41;83;52;44;161;195;173;144;35;34;38;144;35;93;38;51;63;23;35;72;72;211;124;205;165;118;86;173;74;31;20;92;75;31;68;30;48;150;41;44;104;48;368;147;98;245;257;72;155;37;40;167;236;210;87;196;175;112;67;97;262;218;91;62;98;213;141;199;91;423;98;109;269;136;98;226;175;82;208;114;303;91;134;204;314;184;101;145;181;199;348;241;132;128;242;65;939;,56.955247,,164233,78594,142,10378,54375,34443,,,,,,,,,,6723132,140
8,51781,City of Westminster,110;2750;,13.399393,,57179,28460,2,1809,23816,5925,,,,,,,,,,721112,183
8,295353,South Cambridgeshire,38;15;45;52;132;87;98;58;30;13;20;129;19;46;8;9;57;48;38;36;58;39;43;59;27;56;38;330;36;32;10;118;16;14;19;10;18;50;42;31;25;22;14;7;11;24;11;13;33;38;30;87;48;10;22;127;33;36;47;44;56;101;25;21;43;53;37;52;91;68;140;53;46;39;36;18;131;29;22;9;33;19;64;23;31;21;129;34;34;62;40;74;126;22;147;49;126;14;127;79;29;61;76;119;688;,11.105409,,75961,37326,105,4663,27711,11003,,,,,,,,,,1368612,178
6,1906767,Glasgow City,11685;,150.900218,,70524,34790,1,7427,15678,24312,,,,,,,,,,1436428,194
9,55734,Steglitz-Zehlendorf,365;337;175;124;118;283;505;207;154;522;123;274;,13.973158,,74559,36943,12,1829,32366,6145,,,,,,,,,,1423316,102
