admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
10,2604777,Dover,,,0.011185,2184,1069,1,391,158,1084,0.027204,0.024099,,,,,,,,42284,25
8,295349,Fenland,,,0.062299,13480,6530,17,2283,1688,5504,0.168935,0.163937,,,,,,,,87424,64
8,295352,East Cambridgeshire,,,0.080967,19619,9566,36,2383,4556,5669,0.250005,0.260208,,,,,,,,107616,85
8,295351,Huntingdonshire,,,0.156140,37597,18234,82,4899,7931,11773,0.478226,0.506559,,,,,,,,179824,102
8,295355,Cambridge,,,0.269537,62838,31355,1,1612,27868,3876,0.883646,0.989957,,,,,,,,260248,73
8,295353,South Cambridgeshire,,,0.322136,75961,37326,105,4663,27711,11003,1.156896,1.134705,,,,,,,,342280,178
6,180837,Cambridgeshire,,,1.110081,210768,103274,242,16190,69754,38396,3.281840,3.440282,,,,,,,,910284,225
8,172987,Liverpool,,,0.283424,50577,24816,1,6879,7769,21279,0.752257,0.656602,,,,,,,,233628,122
6,1906767,Glasgow City,,,0.318306,70524,34790,1,7427,15678,24312,1.056850,1.011307,,,,,,,,317296,194
8,146656,Manchester,,,0.428984,96802,48052,2,7140,30599,21320,1.373270,1.418969,,,,,,,,370296,235
8,2305279,Carlsbad,,,0.265724,60972,30425,1,2407,24657,6842,0.822343,0.863509,,,,,,,,282660,63
8,2305280,Oceanside,,,0.345241,78005,38904,1,2709,32250,8085,0.987712,1.103864,,,,,,,,335176,86
8,111848,Chula Vista,,,0.341745,77630,38686,1,3186,30541,10174,1.047619,1.266668,,,,,,,,338468,129
2,536780,Singapore,,,1.202452,212140,104497,13,11917,70981,46318,3.314608,3.826149,,,,,,,,1040616,4
8,253832,San Diego,,,1.302066,266382,132015,16,16034,89147,55988,4.103442,4.481961,,,,,,,,1031764,524
8,162378,Birmingham,,,1.553752,307441,152844,3,10492,127279,31893,4.650694,5.064387,,,,,,,,1247636,290
10,2604777,Dover,,,0.009900,2184,1069,1,391,158,1084,0.026097,0.022759,,,,,,,,44296,25
8,295349,Fenland,,,0.059376,13480,6530,17,2283,1688,5504,0.190832,0.183154,,,,,,,,87100,64
8,295352,East Cambridgeshire,,,0.096974,19619,9566,36,2383,4556,5669,0.313411,0.274710,,,,,,,,105192,85
8,295351,Huntingdonshire,,,0.194632,37597,18234,82,4899,7931,11773,0.506854,0.609187,,,,,,,,179232,102
8,295355,Cambridge,,,0.287817,62838,31355,1,1612,27868,3876,0.907764,1.202261,,,,,,,,259672,73
8,295353,South Cambridgeshire,,,0.584158,75961,37326,105,4663,27711,11003,1.579466,1.536043,,,,,,,,341708,178
6,180837,Cambridgeshire,,,1.439433,210768,103274,242,16190,69754,38396,3.925358,4.731706,,,,,,,,910968,225
8,172987,Liverpool,,,0.294933,50577,24816,1,6879,7769,21279,1.025294,0.991113,,,,,,,,235488,122
6,1906767,Glasgow City,,,0.414607,70524,34790,1,7427,15678,24312,1.298848,1.437645,,,,,,,,317104,194
8,146656,Manchester,,,0.631450,96802,48052,2,7140,30599,21320,1.751582,2.072094,,,,,,,,369500,235
8,2305279,Carlsbad,,,0.333146,60972,30425,1,2407,24657,6842,1.058438,1.084841,,,,,,,,282832,63
8,2305280,Oceanside,,,0.432072,78005,38904,1,2709,32250,8085,1.592785,1.779567,,,,,,,,335416,86
8,111848,Chula Vista,,,0.412256,77630,38686,1,3186,30541,10174,1.432754,1.778201,,,,,,,,337312,129
2,536780,Singapore,,,1.395277,212140,104497,13,11917,70981,46318,4.954446,7.090552,,,,,,,,1039920,4
8,253832,San Diego,,,1.849470,266382,132015,16,16034,89147,55988,4.824566,4.854355,,,,,,,,1031772,524
8,162378,Birmingham,,,1.940324,307441,152844,3,10492,127279,31893,4.626070,5.105304,,,,,,,,1247288,290
