admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
2,536780,Singapore,,,1.036722,212140,104497,13,11917,70981,46318,,,,,,,,,,430896,4
8,51781,City of Westminster,,,0.283922,57179,28460,2,1809,23816,5925,,,,,,,,,,132840,183
8,295353,South Cambridgeshire,,,0.362310,75961,37326,105,4663,27711,11003,,,,,,,,,,165868,178
6,1906767,Glasgow City,,,0.285839,70524,34790,1,7427,15678,24312,,,,,,,,,,155960,194
9,55734,Steglitz-Zehlendorf,,,0.309007,74559,36943,12,1829,32366,6145,,,,,,,,,,165528,102
8,118362,Leeds,,,0.692912,161213,79732,39,13715,47115,39475,,,,,,,,,,330788,132
6,51800,City of London,,,0.020718,4193,2089,2,431,1077,1173,,,,,,,,,,36508,93
8,172987,Liverpool,,,0.218509,50577,24816,1,6879,7769,21279,,,,,,,,,,118188,122
8,8450265,London Borough of Southwark,,,0.180534,42145,21031,1,2038,16062,5943,,,,,,,,,,104972,193
8,2305280,Oceanside,,,0.325302,78005,38904,1,2709,32250,8085,,,,,,,,,,172684,86
4,62422,Berlin,,,1.259370,277289,135449,115,15213,96373,53887,,,,,,,,,,562900,208
6,1920901,City of Edinburgh,,,0.195041,48146,23286,31,6138,9268,17272,,,,,,,,,,113804,57
8,111848,Chula Vista,,,0.321194,77630,38686,1,3186,30541,10174,,,,,,,,,,172232,129
9,30353,Wandsbek,,,0.612419,149385,74302,20,2582,68076,8029,,,,,,,,,,312872,113
8,295355,Cambridge,,,0.256470,62838,31355,1,1612,27868,3876,,,,,,,,,,143844,73
8,7444,Paris,,,0.245922,56622,24667,101,9071,4752,28774,,,,,,,,,,127084,324
8,51805,London Borough of Tower Hamlets,,,0.137808,32888,16367,1,1885,12013,5090,,,,,,,,,,86484,92
4,162069,District of Columbia,,,1.178603,267244,132694,10,4160,118037,22830,,,,,,,,,,551008,262
6,62428,Munich,,,0.672203,164233,78594,142,10378,54375,34443,,,,,,,,,,335864,140
10,2604777,Dover,,,0.011293,2184,1069,1,391,158,1084,,,,,,,,,,33696,25
8,1544956,Mountain View,,,0.077463,20224,10077,1,1027,7350,3468,,,,,,,,,,64164,108
10,271110,Amsterdam,,,0.181508,41306,20189,1,5082,4476,22188,,,,,,,,,,100500,152
8,295349,Fenland,,,0.059838,13480,6530,17,2283,1688,5504,,,,,,,,,,52096,64
6,180837,Cambridgeshire,,,0.917161,210768,103274,242,16190,69754,38396,,,,,,,,,,431788,225
8,295351,Huntingdonshire,,,0.150808,37597,18234,82,4899,7931,11773,,,,,,,,,,94764,102
8,2305279,Carlsbad,,,0.241228,60972,30425,1,2407,24657,6842,,,,,,,,,,139640,63
8,146656,Manchester,,,0.393126,96802,48052,2,7140,30599,21320,,,,,,,,,,207652,235
8,295352,East Cambridgeshire,,,0.085137,19619,9566,36,2383,4556,5669,,,,,,,,,,62224,85
5,10264792,Hong Kong Island,,,0.108481,21676,10647,5,1621,6555,5314,,,,,,,,,,67016,6
8,71033,Strasbourg,,,0.068363,15819,7327,16,2641,1141,8223,,,,,,,,,,56240,77
2,536780,Singapore,,,1.104844,212140,104497,13,11917,70981,46318,,,,,,,,,,431024,4
8,51781,City of Westminster,,,0.222042,57179,28460,2,1809,23816,5925,,,,,,,,,,132968,183
8,295353,South Cambridgeshire,,,0.317404,75961,37326,105,4663,27711,11003,,,,,,,,,,166112,178
6,1906767,Glasgow City,,,0.284154,70524,34790,1,7427,15678,24312,,,,,,,,,,156060,194
9,55734,Steglitz-Zehlendorf,,,0.327112,74559,36943,12,1829,32366,6145,,,,,,,,,,165456,102
8,118362,Leeds,,,0.678098,161213,79732,39,13715,47115,39475,,,,,,,,,,330776,132
6,51800,City of London,,,0.016973,4193,2089,2,431,1077,1173,,,,,,,,,,37060,93
8,172987,Liverpool,,,0.197240,50577,24816,1,6879,7769,21279,,,,,,,,,,118876,122
8,8450265,London Borough of Southwark,,,0.159088,42145,21031,1,2038,16062,5943,,,,,,,,,,104892,193
8,2305280,Oceanside,,,0.304833,78005,38904,1,2709,32250,8085,,,,,,,,,,172664,86
4,62422,Berlin,,,1.268304,277289,135449,115,15213,96373,53887,,,,,,,,,,562892,208
6,1920901,City of Edinburgh,,,0.188413,48146,23286,31,6138,9268,17272,,,,,,,,,,114288,57
8,111848,Chula Vista,,,0.308356,77630,38686,1,3186,30541,10174,,,,,,,,,,172688,129
9,30353,Wandsbek,,,0.616379,149385,74302,20,2582,68076,8029,,,,,,,,,,312688,113
8,295355,Cambridge,,,0.267460,62838,31355,1,1612,27868,3876,,,,,,,,,,144104,73
8,7444,Paris,,,0.210608,56622,24667,101,9071,4752,28774,,,,,,,,,,127344,324
8,51805,London Borough of Tower Hamlets,,,0.140516,32888,16367,1,1885,12013,5090,,,,,,,,,,86740,92
4,162069,District of Columbia,,,1.260865,267244,132694,10,4160,118037,22830,,,,,,,,,,551256,262
6,62428,Munich,,,0.683916,164233,78594,142,10378,54375,34443,,,,,,,,,,335840,140
10,2604777,Dover,,,0.009303,2184,1069,1,391,158,1084,,,,,,,,,,33824,25
8,1544956,Mountain View,,,0.080180,20224,10077,1,1027,7350,3468,,,,,,,,,,64160,108
10,271110,Amsterdam,,,0.161425,41306,20189,1,5082,4476,22188,,,,,,,,,,100580,152
8,295349,Fenland,,,0.084642,13480,6530,17,2283,1688,5504,,,,,,,,,,52144,64
6,180837,Cambridgeshire,,,1.171442,210768,103274,242,16190,69754,38396,,,,,,,,,,434056,225
8,295351,Huntingdonshire,,,0.209274,37597,18234,82,4899,7931,11773,,,,,,,,,,95160,102
8,2305279,Carlsbad,,,0.233129,60972,30425,1,2407,24657,6842,,,,,,,,,,139984,63
8,146656,Manchester,,,0.505950,96802,48052,2,7140,30599,21320,,,,,,,,,,208004,235
8,295352,East Cambridgeshire,,,0.124173,19619,9566,36,2383,4556,5669,,,,,,,,,,62744,85
5,10264792,Hong Kong Island,,,0.087965,21676,10647,5,1621,6555,5314,,,,,,,,,,66780,6
8,71033,Strasbourg,,,0.065714,15819,7327,16,2641,1141,8223,,,,,,,,,,56648,77
2,536780,Singapore,,,0.850144,212140,104497,13,11917,70981,46318,,,,,,,,,,431068,4
4,162069,District of Columbia,,,1.334972,267244,132694,10,4160,118037,22830,,,,,,,,,,551372,262
4,62422,Berlin,,,1.215692,277289,135449,115,15213,96373,53887,,,,,,,,,,562672,208
8,51781,City of Westminster,,,0.231432,57179,28460,2,1809,23816,5925,,,,,,,,,,132740,183
