admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
10,2604777,Dover,,,0.017305,2184,1069,1,391,158,1084,0.022068,0.022013,0.035577,0.027031,0.026838,0.020928,0.081103,0.019848,0.018696,53176,25
10,2604777,Dover,,,0.014698,2184,1069,1,391,158,1084,0.024025,0.021876,0.049421,0.021845,0.024881,0.021046,0.078682,0.025565,0.021986,53272,25
10,2604777,Dover,,,0.008576,2184,1069,1,391,158,1084,0.023502,0.027028,0.037228,0.036719,0.022473,0.022563,0.076967,0.023604,0.022532,52072,25
10,2604777,Dover,,,0.011382,2184,1069,1,391,158,1084,0.023832,0.027087,0.051305,0.034137,0.040031,0.028778,0.106412,0.031202,0.032532,55028,25
10,2604777,Dover,,,0.011726,2184,1069,1,391,158,1084,0.020969,0.019786,0.035335,0.023762,0.024652,0.018864,0.077374,0.024301,0.021321,54824,25
10,2604777,Dover,,,0.008990,2184,1069,1,391,158,1084,0.024546,0.025952,0.037539,0.020226,0.024379,0.020839,0.098194,0.025072,0.021581,53788,25
10,2604777,Dover,,,0.009051,2184,1069,1,391,158,1084,0.025676,0.021533,0.035884,0.021823,0.024358,0.021110,0.081505,0.027847,0.021648,53296,25
10,2604777,Dover,,,0.011992,2184,1069,1,391,158,1084,0.022456,0.020491,0.034897,0.023609,0.032507,0.025574,0.085061,0.021853,0.021976,53672,25
10,2604777,Dover,,,0.008965,2184,1069,1,391,158,1084,0.024916,0.024054,0.043840,0.021472,0.025900,0.020044,0.088992,0.025818,0.024132,53448,25
10,2604777,Dover,,,0.009262,2184,1069,1,391,158,1084,0.023016,0.020893,0.037366,0.021940,0.026336,0.018963,0.082146,0.020015,0.020009,52728,25
10,2604777,Dover,,,0.008025,2184,1069,1,391,158,1084,0.022991,0.022651,0.037263,0.022120,0.025285,0.019315,0.079843,0.024863,0.020328,54496,25
10,2604777,Dover,,,0.011805,2184,1069,1,391,158,1084,0.023011,0.020809,0.034836,0.020484,0.027802,0.022235,0.081279,0.023466,0.024612,52692,25
10,2604777,Dover,,,0.010887,2184,1069,1,391,158,1084,0.022190,0.024472,0.040232,0.020339,0.020349,0.019723,0.076272,0.025019,0.019722,48304,25
10,2604777,Dover,,,0.013401,2184,1069,1,391,158,1084,0.023164,0.020898,0.038839,0.025646,0.027380,0.019733,0.080334,0.021332,0.022702,54544,25
10,2604777,Dover,,,0.008860,2184,1069,1,391,158,1084,0.021577,0.020637,0.037949,0.024569,0.035415,0.022109,0.081484,0.025078,0.021167,52904,25
10,2604777,Dover,,,0.009412,2184,1069,1,391,158,1084,0.022587,0.020134,0.033810,0.022756,0.026899,0.020723,0.079127,0.021475,0.020702,51892,25
10,2604777,Dover,,,0.008678,2184,1069,1,391,158,1084,0.021505,0.023166,0.037639,0.022017,0.023880,0.019350,0.080216,0.024069,0.020344,53164,25
10,2604777,Dover,,,0.009889,2184,1069,1,391,158,1084,0.025877,0.021662,0.037530,0.038513,0.024116,0.021575,0.083029,0.025067,0.025533,51564,25
10,2604777,Dover,,,0.010178,2184,1069,1,391,158,1084,0.022048,0.020250,0.033823,0.023129,0.025924,0.020803,0.080061,0.024850,0.021827,51904,25
10,2604777,Dover,,,0.008997,2184,1069,1,391,158,1084,0.022346,0.023441,0.040059,0.021024,0.027033,0.021254,0.084001,0.022366,0.020285,51372,25
